,text,expected_label,actual_label,result
0,"You have no idea how street is, you better stop talking!",ad hominem,"answer: appeal to ignorance.

the speaker assumes that the listener has no knowledge about the street and uses this to intimidate them.",False
1,Yes. People who disagree with this statement are obviously brainwashed by Apple and can not argue objectively.,ad hominem,"answer: ad hominem.

the statement attacks the character of those who disagree with it rather than addressing the actual argument.",True
2,"He is a good charitable person, so yes he does.",ad hominem,"answer: appeal to tradition.

the argument assumes that because someone is charitable, they must always do so.",False
3,"Of course, because then they will not become such an intolerant person as my opponent.",ad hominem,answer: ad hominem,True
4,"But think about the children he killed, they were laying in their own blood on the streets, eyes wide open. How can you talk to such a man?",ad hominem,answer: appeal to pity,False
5,The germans are all criminals anyway after the holocaust,ad hominem,answer: ad populum,False
6,"You are the antichrist, you want to destroy our belief in god.",ad hominem,answer: ad hominem,True
7,You're probably a drug addict yourself.,ad hominem,answer: ad hominem,True
8,Only people who are really dumb think celebrities get away with more crime.,ad hominem,"answer: ad hominem.

the argument attacks the character of the people making the claim (they're dumb) rather than addressing the actual claim.",True
9,Anyone who doesn't want censoring must be a pervert.,ad hominem,"answer: ad hominem.

the argument attacks the character of the person making the opposing argument rather than addressing the actual issue.",True
10,You are a criminal. So you should exit this discussion.,ad hominem,"answer: ad hominem.

the statement attacks the person making the argument rather than addressing the argument itself.",True
11,"You have absolutely no idea, you probably never had a newspaper in your hand.",ad hominem,"answer: appeal to ignorance.

the speaker assumes that the listener has no knowledge about newspapers, thereby attempting to influence their opinion.",False
12,"Extinction is not natural, you dont know what you are talking about!",ad hominem,"answer: appeal to authority.

the statement assumes that just because something has not been scientifically proven doesn't mean it's unnatural.",False
13,"You are one of those liberals with long hair,  right?",ad hominem,"answer: ad hominem.

the statement attacks the person's physical appearance and political affiliation rather than addressing the actual argument.",True
14,"Everybody who sais, that global warning is no issue is a retard",ad hominem,answer: ad hominem,True
15,"Why do you want a university-doctor's title to be shown on their identification-card? You must be one yourself, you egotistic prick ! Does it make you feel respected that we all know your little title?",ad hominem,"answer: ad hominem.

the argument attacks the person making the statement rather than addressing the actual issue.",True
16,Have you ever watched a movie? I think you have no idea of movies.,ad hominem,"answer: ad hominem.

the statement attacks the listener's understanding of movies rather than addressing the merits of the argument.",True
17,"No, look at all the horrible things he is responsible for! You should not talk with such terrible persons.",ad hominem,"answer: ad hominem.

the argument focuses on attacking the character of the person rather than addressing the actual issue or argument.",True
18,You’re way too nervous about driving at night so of course you don’t want to drive.,ad hominem,"answer: appeal to fear.

the argument suggests that the person is too nervous about driving at night, so they should not drive. this relies on the audience's fear of driving at night to persuade them not to drive.",False
19,"You are so damn soft and weak.  I guess you did never do sports, right?",ad hominem,answer: ad hominem,True
20,My opponent can’t possibly know how to balance a budget because she’s never run a business before.,ad hominem,"answer: ad hominem.

the argument attacks the opponent's lack of business experience rather than addressing the actual issue of balancing a budget.",True
21,It’s hard to take your claims seriously because you spend your days playing video games.,ad hominem,"answer: ad hominem.

the argument attacks the person's personality rather than addressing the merits of their claims.",True
22,Marx’s ideas are irrelevant today because the technologies we use and rely on would have been inconceivable to him.,ad hominem,"answer: hasty generalization.

the premise assumes that technological advancements make marx's ideas irrelevant, without considering other factors that may influence their applicability.",False
23,Although Dr. Barone advocates for reducing our carbon footprints she lives in a large house and drives an SUV.,ad hominem,"answer: ad hominem.

the argument attacks the credibility of the speaker (dr. barone) rather than addressing the main issue (reducing carbon footprints).",True
24,Steve thinks Earth is flat so who knows what other crazy stuff he believes?,ad hominem,"answer: ad hominem.

the argument focuses on steve's personal beliefs rather than providing evidence or reasoning to support the claim that earth is flat.",True
25,Your lawn is overgrown; you’re the last person who should care about garbage on the sidewalk.,ad hominem,"answer: ad hominem.

the argument attacks the character of the person making the argument rather than addressing the actual issue.",True
26,you should be really stupid if you believe into such a thing.,ad hominem,"answer: ad hominem.

the statement attacks the credibility of those who believe in the thing, rather than addressing the actual argument.",True
27,Just because you would be a bad parent doesn't mean gay parents can't be good parents.,ad hominem,"answer: appeal to pity.

the argument suggests that the listener should accept the premise simply because the speaker would be a bad parent if they disagreed.",False
28,Im sure you have no children. That is the reason why you write something like this.,ad hominem,"answer: ad hominem.

the argument attacks the writer's parenthood rather than addressing the actual content of their writing.",True
29,I guess you are vegan. You can see what it makes out of people...,ad hominem,answer: ad hominem,True
30,Smoking must be safe because millions of people have been doing it for years.,ad populum,answer: hasty generalization,False
31,Everyone is getting the new smartphone as soon as it comes out this weekend. You should get it too.,ad populum,"answer: appeal to bandwagon.

the argument suggests that because everyone is getting the new smartphone, the person should get it as well.",False
32,"9 out of 10 dentists prefer our brand, so it is the best.",ad populum,answer: hasty generalization,False
33,"The crowds at my Rallies are far bigger than they have ever been before, including the 2016 election. Never an empty seat in these large venues, many thousands of people watching screens outside. I am increasing in importance.",ad populum,"answer: appeal to crowd.

the speaker is using the size of the crowd at their rallies to support the claim that they are increasing in importance.",False
34,"The majority of our countrymen think we should have military operations overseas; therefore, it’s the right thing to do.",ad populum,"answer: hasty generalization.

the argument assumes that the opinions of the majority are always correct or indicative of the right thing to do.",False
35,Three million fans can't be wrong!,ad populum,answer: appeal to authority,False
36,"For such is the power true Godhead that it cannot be altogether and utterly hidden from the rational creature, once it makes use of its reason. For with the exception of a few in whom nature is excessively depraved, the whole human race confesses God to be author of the world.",ad populum,"answer: appeal to authority.

the statement attempts to establish the existence of god by appealing to the authority of the whole human race.",False
37,"If all that the senses present to the mind is sensations, Berkeley must be right — but Berkeley assumed this premiss without any foundation or any proof of it. The size and shape of things are presented to us by our senses, yet every one knows that size and shape are not sensations.",ad populum,"answer: appeal to authority.

the statement relies on the authority of berkeley's philosophical beliefs without providing any evidence or logical reasoning to support the claim.",False
38,"This is not the type of book I would usually read — it's common knowledge, at least to very petite women who shop for the latest fashions in the children's section, that it's a world designed for guys. But oh boy, there's so much more to it.",ad populum,answer: appeal to ridicule,False
39,"The Trump administration is being sued over its plans to include a question about citizenship in the 2020 Census, which California Attorney General Xavier Becerra says ‘is not just a bad idea — it is illegal.’ No, it's not. There is nothing wrong with asking about citizenship. Canada asks a citizenship question on its census. So do Australia and many other U.S. allies.",ad populum,answer: appeal to analogy,False
40,Some of you hold to the doctrine of States' Rights as applying to woman suffrage. Adherence to that theory will keep the United States far behind all other democratic nations upon this question. A theory which prevents a nation from keeping up with the trend of world progress cannot be justified.,ad populum,"answer: ad populum.

the argument suggests that those who support state's rights regarding women's suffrage are outdated and will prevent the us from advancing in comparison to other countries.",True
41,"The human soul is immortal, because all learned men agree that anything which does not come out of the potentiality of matter is incorruptible and immortal.",ad populum,"answer: false analogy.

the argument confuses the potential immortality of ideas or concepts with the physical immortality of the human soul.",False
42,Why are so many people attracted to the Pontiac Grand Prix? It could be that so many people are attracted to the Grand Prix!,ad populum,"answer: appeal to circular reasoning.

the argument suggests that the popularity of the pontiac grand prix is because it is popular, without acknowledging any other potential reasons for its popularity.",False
43,"I am one black woman who believes in America and loves this country, who believes that our future lies in Christianity, capitalism and the Constitution. And I am here to tell you that tens of millions of American of all backgrounds are with me — and are with President Trump.",ad populum,answer: appeal to authority,False
44,"We all believe such preachers as Mr. Raskin. He is so nearly right, his ideals are so very high, that most people assent — while they have no difficulty in evading them and going on their way as if a breath of wind had fanned their faces, and no voice of truth had stirred their spirits.",ad populum,answer: appeal to authority,False
45,"International inspectors would monitor Iran's facilities, and if Iran is caught breaking the agreement economic sanctions would be imposed again. … Snapback sanctions? Everyone knows that once the international sanctions are lifted, they are never coming back.",ad populum,answer: slippery slope,False
46,"All the cool kids are skipping class. If you want to fit in, you should skip too.",ad populum,"answer: appeal to authority.

the argument suggests that skipping class is desirable because it is what popular people are doing.",False
47,"Of course climate change isn't real. The majority of people in our town don't believe in it, so why should we?",ad populum,answer: hasty generalization,False
48,"All my friends agree that this restaurant has the best pizza in town, so we should go there.",ad populum,answer: hasty generalization,False
49,You should buy this phone; it's the best-selling model worldwide.,ad populum,"answer: appeal to authority.

the experts are classifying the statement based on the way it uses reasoning and logic. the statement relies on the authority of experts to support the claim that the phone is the best-selling model worldwide.",False
50,"Nobody in our circle likes that new movie, so it must be terrible.",ad populum,answer: hasty generalization,False
51,"I get mad when i think about all these poor guys on the street, having no home, no job, no family. All because they started taking drugs. Its so sad, we need heavier penalties.",appeal to anger,"answer: appeal to pity.

the argument assumes that all people who are homeless, jobless, and without family are drug users, and therefore deserving of harsher penalties.",False
52,Greece should be kicked out of the Eurozone! These lazy people and social system doesn't deserve support from hard-working states like Germany.,appeal to anger,"answer: ad populum.

the argument generalizes that all greeks are lazy and that the greek social system is inferior, without providing any evidence or factual basis for these claims.",False
53,"Definitely! They just misuse their fame, this inequity makes me sick!",appeal to anger,answer: ad hominem,False
54,Yes I would have air rage because of dumb asses with  a mouth and air in their heads like you.,appeal to anger,"answer: appeal to anger.

the statement expresses extreme emotional response (air rage) due to perceived negative characteristics of certain individuals.",True
55,"Now, look, Americans are hurting tonight and they're angry and I understand that, and they want a new direction.",appeal to anger,"answer: appeal to pity.

the statement attempts to evoke sympathy for the audience by exploiting their emotional state of pain and anger.",False
56,Are you tired of being ignored by your government?  Is it right that the top 1% have so much when the rest of us have so little?  I urge you to vote for me today!,appeal to anger,"answer: appeal to emotion.

the statement attempts to evoke feelings of anger and inequality to influence the listener's decision.",False
57,How can you possibly think that humans evolved from monkeys!  Does my nanna look like a flippin' monkey to you?,appeal to anger,"answer: appeal to ridicule.

the statement uses sarcasm and exaggerated humor to undermine the credibility of the opposing argument by making it seem ridiculous.",False
58,"I have a few African-American friends who have gone through this horror and, you know, it makes me want to kind of hit the wall because it's such an assault on their humanity and their citizenship. We can't tolerate it anymore.",appeal to anger,"answer: appeal to pity.

the speaker uses the emotional response to the suffering of african-american friends to make a broader argument about the intolerance of systemic oppression.",False
59,People are fed up. They've had enough with the bickering and the partisanship that seems to characterize the debate that goes on in the nation's capital.,appeal to anger,"answer: appeal to anger.

the statement suggests that people are tired of the negative behavior of politicians and wants a change.",True
60,The media is constantly spreading lies and misinformation to manipulate us. It's time to rise up and demand the truth!,appeal to anger,"answer: appeal to anger.

the statement urges the listener to take action based on an emotional response to the media's perceived manipulation.",True
61,"How dare they try to censor our freedom of speech! We have the right to express ourselves however we want, and anyone who tries to silence us is a tyrant!",appeal to anger,"answer: appeal to anger.

the statement attempts to evoke strong negative emotions (anger) in order to persuade the listener that the censorship attempt is wrong.",True
62,Those protesters are nothing but troublemakers causing chaos in our streets. They need to be stopped by any means necessary!,appeal to anger,answer: ad hominem,False
63,I'm sick and tired of these so-called experts telling us what to do. We don't need their condescending lectures; we need action!,appeal to anger,"answer: ad hominem.

the statement attacks the credibility of the experts rather than addressing the merits of their arguments.",False
64,Flying cars will become reality because I have an technology degree and I say so.,appeal to (false) authority,"answer: causal oversimplification.

the statement simplifies the complex process of technological innovation to simply having a technology degree, ignoring the numerous factors and challenges involved in developing flying cars.",False
65,I heard a politiician on TV say that locking people up for drugs reduces crime.,appeal to (false) authority,"answer: false causality.

the statement suggests that locking people up for drugs eliminates crime, but fails to acknowledge other factors that contribute to crime reduction or increases.",False
66,My nutritionist says we don't need meat to eat healthy.,appeal to (false) authority,answer: appeal to authority,False
67,"My husband says that eating meat makes you tired, so it should be true.",appeal to (false) authority,answer: hasty generalization,False
68,"They are not suffering. I got a dog, i know what i am talking about.",appeal to (false) authority,"answer: appeal to authority.

the speaker implies that because they have a dog, they are an authority on suffering.",False
69,Nah my Dad says he treats my Mom nice so I know there isn't an issue here.,appeal to (false) authority,"answer: ad hominem.

the arguer cites their father's behavior towards their mother as evidence that there is no issue, without addressing the actual argument or evidence related to the issue being discussed.",False
70,"No, i saw a video from a guy on youtube. Therein he presents, that the landing is completely faked. The state seems to have organized this in order to beat the russians.",appeal to (false) authority,"answer: appeal to authority.

explanation: the statement relies on the authority of the guy from the youtube video to support the claim that the landing is faked.",False
71,Absolutely not. My father has always told me that you should not negotiate with dictators.,appeal to (false) authority,answer: ad hominem,False
72,"No. My best friend, who is an ecologist, says that all these ""global warming"" and ""melting ice glaciers"" stories are fictive. A global task force would be used for anything but protecting environment.",appeal to (false) authority,"answer: appeal to ridicule.

the speaker undermines the credibility of scientists by dismissing their expertise and suggesting their claims are false without providing any evidence or reasoning to support their position.",False
73,"I think homeschooling is a great thing, just go read some discussion forums and you'll find out yourself...",appeal to (false) authority,answer: hasty generalization,False
74,Because Cristian said so,appeal to (false) authority,"answer: appeal to authority.

the statement relies on the authority of cristian to support the claim without providing any evidence or reasoning.",False
75,My brother said Messi has won more trophies with Barcelona than he has with Real Madrid so he does not deserve the trophy.,appeal to (false) authority,"answer: ad hominem.

the argument attacks messi's loyalty to barcelona rather than addressing the actual number of trophies he has won with each team.",False
76,"Yes, ask the guys from PETA, of course they need special rights.",appeal to (false) authority,answer: ad populum,False
77,My boyfriend has the opinion that Apple has only his profit on his mind. So Apple 's swift will be a fail.,appeal to (false) authority,"answer: false analogy.

the premise suggests a direct correlation between profit maximization and company speed, neglecting other factors influencing decision-making.",False
78,My teacher alwas took away our phones when we used them during class. I am sure he had a reason.,appeal to (false) authority,"answer: causal oversimplification.

the statement assumes that the teacher's action of taking away phones is solely due to their use during class, without considering other possible factors or motivations.",False
79,My teacher said global warming is a myth so therefore there is no global warming.,appeal to (false) authority,"answer: false causality.

the statement wrongly concludes that because some people deny the existence of global warming, it must be a myth.",False
80,"Yes, yesterday i talked to my neighbour about it. She said that these celebrities can do what they want, because they are rich.",appeal to (false) authority,"answer: appeal to nature.

the argument assumes that celebrities can do whatever they want simply because they are rich, without considering other factors or moral implications.",False
81,My mother says always that the non- European immigrans destroy our culture.,appeal to (false) authority,answer: appeal to tradition,False
82,"I read many facebook posts and comments from people who ""know stuff"".. you know.. behind the curtains... definitely experts... and they agree on that unanimously!",appeal to (false) authority,answer: appeal to authority,False
83,"My friend said, that human dignity is more important.",appeal to (false) authority,answer: appeal to tradition,False
