Sentence,Label
"Yes,  whoever drinks and drives has a bad reaction time. People might die.",nothing
Computers are bad for the development of childrens brains.,nothing
Of course same-sex marriage should be allowed.,nothing
Under no circumstances should marijuana be legalized.,nothing
We shouldn't allow men to oppress women.,nothing
good point. why not,nothing
just a test argument,nothing
There is only one way to stop a war and that is with diplomacy. We have enough historical examples for this.,nothing
but it gives less power to employees and the recruiting quality decreases,nothing
"Yes, they do make schools more effective.",nothing
better testing new medical products on animals than on humans,nothing
We as the country cannot afford that.,nothing
The Apollo missions were all faked. No one has ever been on the moon.,nothing
"Yes, the Islamic state is becoming too big to fight without military operations.",nothing
"They should have the same rights, but it is fact, that they have not. Look at India, women are raped there on a daily basis.",nothing
yes they allow us to connect,nothing
"But if you read some investigative journalists, you'll find out the truth...",nothing
I don't think school uniforms can influence the pupils' performance.,nothing
"Yes, if the scientifical progress stays the same as the last 200 years.",nothing
Yes the man has been on the moon.,nothing
Children should go to regular schools.,nothing
"I own a computer-factory. And im outsourcing my support-callcenter to india. I dont want those people to work like animals. I pay less money than in germany, yes, but it is still a lot of money for the workers there.",nothing
"Of course, with unlimited amount of time everything is possible. We came from fire to rockets in just some thousand years.",nothing
"Yes, because he's blocked more shots than any other keeper.",nothing
I don't like Heavy Metal generally,nothing
"It could be hard for students to assimilate into ""mixed gender"" society.",nothing
I'm definitely against legalization.,nothing
IT IS HORRIBLE TO USE NUCLEAR ENERGY.,nothing
"As long as they take the precautions and responsibilities, it is the householders who should decide together whether to smoke inside  or not.",nothing
We might not want to home school all children because it is important for them to learn how to interact with others.,nothing
I do not think so because there is always the danger that the normal childs bully the handicaped one because of their mental weakness.,nothing
Apple is definitely the new Microsoft. Apple is in almost every home in America in some fashion just like Microsoft is in every home as well. Apple actually has overtaken Microsoft in terms of market share.,nothing
We should homeschool our kids.,nothing
preservation of the species is critical especially when of the world governments are allowing the natural habitat to be destroyed. One will note of the previous sentence that it is imperative that we do relocate some members of the species to a different location – such as  a zoo.,nothing
I regard single sex education as bad.,nothing
I think the society in general benefits from Social Networks.,nothing
"For a first steps in basic research, animal testing for medical reasons is more efficient than human testing.",nothing
"Yes, human beings have hunted and eaten animals for as long as can be shown and they are partly to blame for certain animal extinctions.",nothing
Of course it is reasonable for some people to school there children at home but to school all kids at home would be fatal.,nothing
"It would be a crime to look away and let the Islamic State continue decapitating people. When you see such a crime on the street you have to call police. When you see such crimes in another country, you have to get active as well. America does what is needed and fights the terror.",nothing
It's irresponsible to drive under the influence of alcohol.,nothing
The information in social networks is often not reliable.,nothing
"I am a mother of 3 children and my body is not perfect anymore. But i dont care, because all people are pretty, no matter what their  body looks like.",nothing
"It is ok to use it. Temelin exploded, but this does not mean,  that every reactor will explode. So why not,  it is cheap energy.",nothing
"This is just one case, does not count for everyone.",nothing
People are killing themselves doing it and raising the costs of all of healthcare because of it.,nothing
It shouldn't be legalized.,nothing
"Yes.  Philippians 4:7 says that ""God will give us peace that surpasses all understanding.""",nothing
Not exactly. But we need to take care of them more than school.,nothing
Neuer was the best goalkeeper of the World Cup in 2014 because he made the most saves.,nothing
It is fair to do so to make sure no one is cheating,nothing
"Yes. Although many forms of plastic surgery can be used for superficial reasons, it is important because it is also used to reconstruct things for people after bad accidents, or for gender reassignment, skin grafts from burns, etc.",nothing
It would be going against people's human's rights to not allow them a country where their password allows them.,nothing
"He has made an important mark in the rap industry, but he did not live long enough to be the most influential rapper of all time.",nothing
History has proven that democracy is the best system available- all other systems have been eliminated.,nothing
All conspiracy theory supporters should first read Foucalt's Pendulum!,nothing
There are advantages to sending your child to a co-ed school.,nothing
It is not as effective as it could be. Many students can suffer due to ineffective policies.,nothing
i need to write an argument,nothing
"Yes,  now the law treats them as things,  but they are conscious as we are. They need special rights.",nothing
"Yes, refugees who commit crimes have no respect for the country they fled to. Furthermore the situation they fled from cannot have been that bad, because they risk getting sent back.",nothing
Of course.,nothing
Communication between family members suffers from watching TV.,nothing
No It simply means that they have a stockpile of cash that could buy eventually anything for them; for example – “Justice”.,nothing
Nuclear power is necessary.,nothing
Gorillas should live freely in nature.,nothing
good point tehe economy will grow,nothing
Endless growth is impossible.,nothing
"I really felt if I had stayed in single-sex, I would have been unprepared for life after high school, socially speaking.",nothing
Single-sex schools are more effective.,nothing
Non-European immigrants should be accepted in Europe,nothing
Humans are not to be blamed for animal extinction.,nothing
"I don’t think school children should spend as much time as they usually do isolated by age, let alone sex.",nothing
"People are not being abused. Many new companies operate in other countries for fair wages, offering opportunities that they would not otherwise have. At the same time, American citizens benefit by manufacturing efficiency and not driving American business further into debt.",nothing
"Yes, there's is no way that they could fake such an event. There is a lot proof, such as video footage and rocks brought back that could not be faked.",nothing
"I really felt if I had stayed in single-sex, I would have been unprepared for life after high school, socially speaking.",nothing
"Terror has proven itself to be a real and unignorable danger, thus something has to be done.",nothing
Jobs should not be subcontracted into developing countries.,nothing
School uniforms just create an extra expense for parents and take away from school itself.,nothing
The reason for the supporters of the war on terror is 9/11.,nothing
The islamist terrorists are a serious threat to each form of progressive society.,nothing
"No, it does not.",nothing
Social networks such as Facebook are the work of the devil.,nothing
"I believe they are to blame because humans hunt for meat and eat meat daily. Some of them more so than others, especially in other parts of the country.",nothing
"With the goal in mind to improve everyone's situation, growth is good for a country.",nothing
The rate of celebraties that go into rehab and the rate of other people going to jail for drug posession stongly suggests this is the case.,nothing
People have been on the moon already.,nothing
Nuclear energy is a cheap power source.,nothing
School uniforms do not make school a more effective place to learn.,nothing
I highly recommend a co-ed school.,nothing
"Social education is important, alongside academics. The real world is not segregated, nor are universities.",nothing
"High schools should provide  daycare services for students who have children, because it is not legit to exclude students who have children from certain possibilities to advance in society and to cut down their freedom in educational issues in an unproportional manor",nothing
OF course they are!,nothing
We need drug testing to ensure fair competition.,nothing
"This is not true, there are no studies that would prove that.",nothing
"Yes, global warming is a serious issue.",nothing
There are some reasons for America's war on terror.,nothing
"They certainly could be more violent. The thing with Quentin Tarantino is that he understands the separation between real life and movies. He understands that movies are supposed to be wild and outrageous and that is exactly what his movies are known for, especially when it comes to violence. Scenes from movies like Django Unchained had body parts exploding off after being shot with a simple handgun. It's supposed to be for entertainment, and nothing more.",nothing
"In order to prevent more people to become ill, yes.",nothing
"They brought several kilos of moon rocks back to earth, and you cannot simply fake four billion years old rock material.",nothing
"Christiano Ronaldo hat viele Neider, doch er ist wohl mit Abstand der momentan beste Spieler der Welt.",nothing
It helps companies lower labor cost and increased realization of economics of scale,nothing
Yes we should do it.,nothing
We should allow it,nothing
Microsoft is not the new apple,nothing
Single sex schools are not good.,nothing
Nuclear power is an incredibly reasonable power source granted it is used by people who are responsible. It's the most effective energy source in the world and incredibly clean.,nothing
Who controlls the controller?,nothing
"There is no denying tat CO2 Emissions and average temperature aof the atmosphere both have gone up, there are many studies on it.",nothing
People become too involved with social media and fail to make real personal connections with others,nothing
Because they post only useful information,nothing
"Animals have a conscious mind. That means they deserve protection through law, like humans do. Nevertheless they arent as intelligent as humans, thats why they need a special law.",nothing
Test for an Argument,nothing
There is a good reason,nothing
I really don't think so,nothing
"Current civil unrest in Turkey is partly based on resentment of other European governments. Given the governments aren't getting along, it seems like Turkey isn't ready.",nothing
"No,  its not worth the risk. So many people did already die because of radiation...",nothing
"If you don't allow animals to have rights, you shouldn't have them either.",nothing
Cause the country is led by a dictator.,nothing
Of course they do.,nothing
We should allow animal testing for medical purposes.,nothing
Democracy is good.,nothing
"Putin has nothing to say regarding the EU. It is our choice who joins and who does not. I think the country is ready. We are neighbours, we share much culture and many people from Turkey do already live in european countries. They are ready.",nothing
That Gorillas should be held in Zoos,nothing
I know that differences in global temperatures are  totally normal and have been happening for hundreds of thousands of years. This has never been a problem. Now it isnt one as well.,nothing
"Refugees mostly flee from the war, poverty or tyranny in their countries. Unless these problems are solved to some extent and they have some other safe place to reside in, except EU, they should be welcome.",nothing
yes,nothing
"Well, depends on what is meant by ""building the minds"" - but in general, television is a really good tool for brainwashing the children, especially in early ages.",nothing
Rather than adopting stiffer penalties for drug use we should focus more on counseling. Drug trafficking is another story.,nothing
