Sentence,Label
"“For what appears to be the first time since scientists began keeping track, sea ice in the Arctic and the Antarctic are at record lows this time of year.”",false causality
"“Pollard and DeConto are the first to admit that their model is still crude, but its results have pushed the entire scientific community into emergency mode.”",false causality
"“That isn’t all that ocean acidification can do. Carbon absorption can initiate a feedback loop in which underoxygenated waters breed different kinds of microbes that turn the water still more “anoxic,” first in deep ocean “dead zones,” then gradually up toward the surface[…]This process, in which dead zones grow like cancers, choking off marine life and wiping out fisheries, is already quite advanced in parts of the Gulf of Mexico and just off Namibia, where hydrogen sulfide is bubbling out of the sea along a thousand-mile stretch of land known as the ‘Skeleton Coast.’”",false causality
water vapour has been the main greenhouse gas and carbon dioxide has had a minuscule effect on global climate,false causality
"“How did a wet Western winter lead to a sky-choking summer? The answer lies in the summer’s record-breaking heat, say wildfire experts. Days of near-100-degree-Fahrenheit temperatures cooked the Mountain West in early July, and a scorching heat wave lingered over the Pacific Northwest in early August.”",false causality
“What are the odds that a climate model built on a system that simple would be reliable? Less than 50/50. (Multiplying .95 by itself 15 times yields 46.3 percent.)”,false causality
“The end of food”,false causality
"at the end of recent ice ages, the concentration of carbon dioxide in the atmosphere started to rise only after temperatures began to climb.",false causality
“One key effect will be albedo feedback”,false causality
"“But recent examples from other regions, like the rapidly collapsing Larsen B ice shelf on the Antarctic Peninsula, show that once ice shelves break apart as a result of warming, their parent glaciers start to flow faster toward the sea, an effect that can weaken the stability of ice further inland, too.”",false causality
“Instrumental temperature measurements over the past 150 years show no correlation between human emissions of CO2 and ­temperature.”,false causality
“cold kills many more people than heat.”,false causality
"[…] the Roman Warming, the Dark Ages, the Medieval Warming and the Little Ice Age. These took place before industrialisation and were all driven by changes in the sun.",false causality
"“First, marine species that calcify have survived through millions of years when CO2 was at much higher levels; second, they are more than capable of adapting — even in the short term — to environmental change”",false causality
"“The UN has already said that 2016 is highly likely to break the annual record again, after 14 straight months of extreme heat aided by a hefty El Niño climatic event, a weather event that typically raises temperatures around the world.“",false causality
"“In contrast, humans are now emitting about 10 billion tons annually — changing the planet much more rapidly.”",false causality
“Federal scientists have documented a sharp jump in this nuisance flooding — often called ‘sunny-day flooding’ — along both the East Coast and the Gulf Coast in recent years.”,false causality
Brooks added that Antarctic ice is growing.,false causality
"“‘That isn’t going to sound horribly unmanageable. But remember for the northern hemisphere, for North America, the fact that the location in West Antarctica is where the action is amplifies that rate of sea level rise by up to an about additional 25 percent in a city like Boston or New York.’ That’s because as Antarctica’s mass shrinks, the ice sheet’s gravitational pull on the ocean relaxes somewhat, and the seas travel back across the globe to pile up far away — with U.S. coasts being one prime destination.”",false causality
"“His Gaia hypothesis, which contends that the earth is a single, self-regulating organism, is now accepted as the founding principle of most climate science […]”",false causality
The strongest heat wave ever recorded [in the US] occurred in July 1936,false causality
“record temperatures brought in 2016 by an exceptionally strong El Niño”,false causality
frost fairs were held on the Thames when the river froze,false causality
