,text,label
0,"“For what appears to be the first time since scientists began keeping track, sea ice in the Arctic and the Antarctic are at record lows this time of year.”",false causality
1,"“Pollard and DeConto are the first to admit that their model is still crude, but its results have pushed the entire scientific community into emergency mode.”",false causality
2,"“That isn’t all that ocean acidification can do. Carbon absorption can initiate a feedback loop in which underoxygenated waters breed different kinds of microbes that turn the water still more “anoxic,” first in deep ocean “dead zones,” then gradually up toward the surface[…]This process, in which dead zones grow like cancers, choking off marine life and wiping out fisheries, is already quite advanced in parts of the Gulf of Mexico and just off Namibia, where hydrogen sulfide is bubbling out of the sea along a thousand-mile stretch of land known as the ‘Skeleton Coast.’”",false causality
3,water vapour has been the main greenhouse gas and carbon dioxide has had a minuscule effect on global climate,false causality
4,"“How did a wet Western winter lead to a sky-choking summer? The answer lies in the summer’s record-breaking heat, say wildfire experts. Days of near-100-degree-Fahrenheit temperatures cooked the Mountain West in early July, and a scorching heat wave lingered over the Pacific Northwest in early August.”",false causality
5,“What are the odds that a climate model built on a system that simple would be reliable? Less than 50/50. (Multiplying .95 by itself 15 times yields 46.3 percent.)”,false causality
6,“The end of food”,false causality
7,"at the end of recent ice ages, the concentration of carbon dioxide in the atmosphere started to rise only after temperatures began to climb.",false causality
0,"“The study is the product of a large group of Antarctic experts who collectively reviewed 24 recent measurements of Antarctic ice loss, reconciling their differences to produce the most definitive figures yet on changes in Antarctica.”",causal oversimplification
1,"“there are alarming stories every day, like last month’s satellite data showing the globe warming, since 1998, more than twice as fast as scientists had thought”",causal oversimplification
2,"“The report confidently claims that when temperatures rise, “the reduction in premature deaths from cold are expected to be smaller than the increase in deaths from heat in the United States.” Six footnotes are attached to that statement.”",causal oversimplification
3,"“In recent decades this warming has been accompanied by a constant rise in the sea level and, it would appear, by an increase of extreme weather events, even if a scientifically determinable cause cannot be assigned to each particular phenomenon.”",causal oversimplification
4,"“According to a recent National Economic Research Associates Economic Consulting study, the Paris Agreement could obliterate $3 trillion of GDP, 6.5 million industrial sector jobs and $7,000 in per capita household income from the American economy by 2040. Meeting the 2025 emissions reduction target alone could subtract $250 billion from our GDP and eliminate 2.7 million jobs. The cement, iron and steel, and petroleum refining industries could see their production cut by 21% 19%, and 11% respectively.”",causal oversimplification
5,"“In pushing too hard for the case that global warming is universally bad for everything, the administration’s report undermines the reasonable case for climate action.”",causal oversimplification
6,"But the heads of small island nations, fearful of rising sea levels, had also asked scientists to examine the effects of 2.7 degrees of warming.",causal oversimplification
7,“The extreme cycles of dry and wet weather appear to have been intensifying over the last three decades.”,causal oversimplification
8,"“Huge sections of the Great Barrier Reef, stretching across hundreds of miles of its most pristine northern sector, were recently found to be dead, killed last year by overheated seawater.”",causal oversimplification
9,"“Another consequence of the fast melting Arctic raises the possibility that there may be even worse extreme weather to come, according to a few scientists: titanic Atlantic superstorms and hurricanes barreling across Europe.”",causal oversimplification
10,“[South Australia] has the most expensive electricity in the world.”,causal oversimplification
11,The ‘hockey stick’ graph [Figure] ,causal oversimplification
12,"To revisit the ocean’s paleotemperatures now, we need to carefully quantify this re-equilibration, which has been overlooked for too long. For that, we have to work on other types of marine organisms so that we clearly understand what took place in the sediment over geological time”",causal oversimplification
13,I chose to assess the sea-level trend from 1915-45,causal oversimplification
14,"“The most famous of these studies, published in 2010 by Paul Kench and Arthur Webb of the South Pacific Applied Geoscience Commission in Fiji, showed that of 27 Pacific islands, 14% lost area. Yet 43% gained area, with the rest remaining stable.”",causal oversimplification
15,"there has been no systematic increase in the frequency of extreme weather events,",causal oversimplification
16,"“Howard Browman, a marine scientist for 35 years, has published a review in the ICES Journal of Marine Science of all the papers published on the subject.”",causal oversimplification
0,"“Already, scientists know enough to be concerned. About 120,000 years ago, before the last ice age, the planet went through a natural warm period, with temperatures similar to those expected in coming decades. The sea level was 20 to 30 feet higher than it is today, implying that the ice sheets in both Greenland and Antarctica must have partly disintegrated, a warning of what could occur in the relatively near future if the heating of the planet continues unchecked.”",false analogy
1,"“Without human intervention, the concentration of CO2 has climbed as high as 7,000 parts per million (ppm) in prior eras, whereas at present the concentration is just over 400 ppm.”",false analogy
2,"“So far this month, there have been nearly 5,000 daily record highs set or tied, compared to just 42 daily record lows.”",false analogy
3,"Like countless other organ­isms, we move and adapt when the environment changes. Species thrive when it is warm.",false analogy
4,"“The last time the planet was even four degrees warmer, Peter Brannen points out in The Ends of the World, his new history of the planet’s major extinction events, the oceans were hundreds of feet higher.”",false analogy
0,“Consider a rigorous study published last year in the journal Lancet that examined temperature-related mortality around the globe.”,appeal to (false) authority
